ORIGIN_AIRPORT_ID,AVG_DEP_DELAY,VAR_DEP_DELAY,MAX_DEP_DELAY,MIN_DEP_DELAY,COUNT_DEP_DELAY,COUNT_DEP_DELAY_10_OR_MORE,OUTLIERS_DEP_DELAY,AVG_ARR_TIME,VAR_ARR_TIME,MAX_ARR_TIME,MIN_ARR_TIME,AVG_ARR_DELAY,VAR_ARR_DELAY,MAX_ARR_DELAY,MIN_ARR_DELAY,COUNT_ARR_DELAY,COUNT_ARR_DELAY_5_OR_MORE,OUTLIERS_ARR_DELAY,PROPORTION_COUNT_DEP_DELAY_10_OR_MORE,PROPORTION_OUTLIERS_DEP_DELAY,PROPORTION_COUNT_ARR_DELAY_5_OR_MORE,PROPORTION_OUTLIERS_ARR_DELAY
12173,2.8997455470737914,1318.7428098105242,925.0,-25.0,3930,468,432,1342.398879266429,363004.58429428656,2359.0,1.0,1.003315480744708,1386.8078971680518,944.0,-56.0,3921,901,470,0.11908396946564885,0.1099236641221374,0.22978831930629942,0.11986738077021168
12177,2.5344827586206895,4081.3408953418043,473.0,-18.0,58,5,5,1186.2241379310344,124614.8436176648,1657.0,826.0,-1.9655172413793103,4083.051421657591,459.0,-29.0,58,8,4,0.08620689655172414,0.08620689655172414,0.13793103448275862,0.06896551724137931
12191,7.423670320747056,846.4801624447914,981.0,-19.0,4926,1182,473,1509.172623883022,267730.48045291484,2400.0,1.0,-2.1194393662400977,936.7419280074463,980.0,-48.0,4923,1098,347,0.23995127892813642,0.09602111246447421,0.2230347349177331,0.07048547633556775
12197,18.828235294117647,8182.912747176613,1270.0,-22.0,850,196,126,1441.9576470588236,252455.9510898635,2400.0,9.0,11.57193396226415,8573.062115735898,1282.0,-50.0,848,253,82,0.23058823529411765,0.14823529411764705,0.2983490566037736,0.09669811320754718
12206,1.8201219512195121,623.6892574774369,196.0,-16.0,328,46,46,1461.5274390243903,224562.5007738496,2347.0,611.0,-5.310975609756097,758.3617140299845,200.0,-43.0,328,55,22,0.1402439024390244,0.1402439024390244,0.1676829268292683,0.06707317073170732
12217,4.423188405797101,1364.7901726930436,381.0,-25.0,690,97,103,1454.4173913043478,221730.9111629962,2257.0,26.0,-0.11014492753623188,1554.643873709008,392.0,-42.0,690,151,54,0.14057971014492754,0.1492753623188406,0.21884057971014492,0.0782608695652174
12223,18.75,948.7236842105264,98.0,-11.0,20,10,2,1668.5,517860.68421052623,2354.0,8.0,15.75,1157.144736842105,99.0,-19.0,20,10,3,0.5,0.1,0.5,0.15
12244,14.538461538461538,3301.471153846154,342.0,-19.0,65,15,12,1143.5230769230768,149662.69086538462,2156.0,653.0,15.953846153846154,3503.5759615384586,325.0,-27.0,65,16,12,0.23076923076923078,0.18461538461538463,0.24615384615384617,0.18461538461538463
12255,23.71276595744681,9564.895104095174,682.0,-29.0,94,22,18,1455.5,324119.60752688174,2352.0,22.0,21.861702127659573,10718.507549759785,703.0,-42.0,94,29,12,0.23404255319148937,0.19148936170212766,0.30851063829787234,0.1276595744680851
12264,10.709658421672556,3671.2113851964773,1042.0,-32.0,5094,898,841,1505.1591355599214,272265.1666536059,2400.0,1.0,7.3911845730027546,4010.175619970244,1047.0,-66.0,5082,1459,486,0.1762858264625049,0.16509619159795838,0.28709169618260527,0.09563164108618655
